customer_id,gender,senior_citizen,partner,dependents,tenure,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,churn_probability,tenure_group
7590-VHVEG,Female,0,Yes,No,1,Month-to-month,Yes,Electronic check,29.85,29.85,No,No,No phone service,DSL,No,Yes,No,No,No,No,0.7999841576923409,0-12 months (New)
5575-GNVDE,Male,0,No,No,34,One year,No,Mailed check,56.95,1889.5,No,Yes,No,DSL,Yes,No,Yes,No,No,No,0.1109992568213822,25-48 months
3668-QPYBK,Male,0,No,No,2,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,Yes,No,DSL,Yes,Yes,No,No,No,No,0.5365483511309164,0-12 months (New)
7795-CFOCW,Male,0,No,No,45,One year,No,Bank transfer (automatic),42.3,1840.75,No,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,0.08479885287369775,25-48 months
9237-HQITU,Female,0,No,No,2,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,Yes,No,Fiber optic,No,No,No,No,No,No,0.8503551831617125,0-12 months (New)
9305-CDSKC,Female,0,No,No,8,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,0.9018809980227083,0-12 months (New)
1452-KIOVK,Male,0,No,Yes,22,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,0.7147345865763445,13-24 months
6713-OKOMC,Female,0,No,No,10,Month-to-month,No,Mailed check,29.75,301.9,No,No,No phone service,DSL,Yes,No,No,No,No,No,0.5170556125177538,0-12 months (New)
7892-POOKP,Female,0,Yes,No,28,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,0.8054657307212774,25-48 months
6388-TABGU,Male,0,No,Yes,62,One year,No,Bank transfer (automatic),56.15,3487.95,No,Yes,No,DSL,Yes,Yes,No,No,No,No,0.036033559879734084,48+ months (Loyal)
9763-GRSKD,Male,0,Yes,Yes,13,Month-to-month,Yes,Mailed check,49.95,587.45,No,Yes,No,DSL,Yes,No,No,No,No,No,0.4024201824888326,13-24 months
7469-LKBCI,Male,0,No,No,16,Two year,No,Credit card (automatic),18.95,326.8,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.07708346376447929,13-24 months
8091-TTVAX,Male,0,Yes,No,58,One year,No,Credit card (automatic),100.35,5681.1,No,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,0.3677847477475478,48+ months (Loyal)
0280-XJGEX,Male,0,No,No,49,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,0.6863845600935412,48+ months (Loyal)
5129-JLPIS,Male,0,No,No,25,Month-to-month,Yes,Electronic check,105.5,2686.05,No,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,0.7184862417487597,25-48 months
3655-SNQYZ,Female,0,Yes,Yes,69,Two year,No,Credit card (automatic),113.25,7895.15,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,0.09454494866044232,48+ months (Loyal)
8191-XWSZG,Female,0,No,No,52,One year,No,Mailed check,20.65,1022.95,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.026412295845002424,48+ months (Loyal)
9959-WOFKT,Male,0,No,Yes,71,Two year,No,Bank transfer (automatic),106.7,7382.25,No,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,0.1224704009054283,48+ months (Loyal)
4190-MFLUW,Female,0,Yes,Yes,10,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,Yes,No,DSL,No,No,Yes,Yes,No,No,0.35977165883345313,0-12 months (New)
4183-MYFRB,Female,0,No,No,21,Month-to-month,Yes,Electronic check,90.05,1862.9,No,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,0.767388256791309,13-24 months
8779-QRDMV,Male,1,No,No,1,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,No,No phone service,DSL,No,No,Yes,No,No,Yes,0.8854079141122911,0-12 months (New)
1680-VDCWW,Male,0,Yes,No,12,One year,No,Bank transfer (automatic),19.8,202.25,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.17362106276655764,13-24 months
