ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2015-05-01,1219.47104066304,234.7519709465155,2273.4454011699477,1219.47104066304,1219.47104066304,0.0,0.0,0.0,0.0,0.0,0.0,1219.47104066304
2015-09-01,1114.558577786634,135.28217098567728,2061.410934904923,1114.558577786634,1114.558577786634,0.0,0.0,0.0,0.0,0.0,0.0,1114.558577786634
2015-11-01,1062.5288197937057,86.65204111763401,1986.0724142246752,1062.5288197937057,1062.5288197937057,0.0,0.0,0.0,0.0,0.0,0.0,1062.5288197937057
2015-12-01,1036.9404142331427,44.06641474909108,2065.8560046447105,1036.9404142331427,1036.9404142331427,0.0,0.0,0.0,0.0,0.0,0.0,1036.9404142331427
2016-02-01,984.0577093828108,0.0,1979.3922174982583,984.0577093828108,984.0577093828108,0.0,0.0,0.0,0.0,0.0,0.0,984.0577093828108
2016-03-01,959.3222506490772,0.0,1929.9760821933482,959.3222506490772,959.3222506490772,0.0,0.0,0.0,0.0,0.0,0.0,959.3222506490772
2016-05-01,907.2924926489908,0.0,1848.0850661081897,907.2924926489908,907.2924926489908,0.0,0.0,0.0,0.0,0.0,0.0,907.2924926489908
2016-07-01,855.2627346543774,0.0,1850.3438420239356,855.2627346543774,855.2627346543774,0.0,0.0,0.0,0.0,0.0,0.0,855.2627346543774
2016-11-01,750.3502717837946,0.0,1684.2234504014687,750.3502717837946,750.3502717837946,0.0,0.0,0.0,0.0,0.0,0.0,750.3502717837946
2017-01-01,698.3205137886057,0.0,1711.3316305966102,698.3205137886057,698.3205137886057,0.0,0.0,0.0,0.0,0.0,0.0,698.3205137886057
2017-03-01,647.996649467537,0.0,1646.800966022092,647.996649467537,647.996649467537,0.0,0.0,0.0,0.0,0.0,0.0,647.996649467537
2017-04-01,621.5552970233597,0.0,1622.0000363232234,621.5552970233597,621.5552970233597,0.0,0.0,0.0,0.0,0.0,0.0,621.5552970233597
2017-05-01,595.9668914335214,0.0,1585.051352362378,595.9668914335214,595.9668914335214,0.0,0.0,0.0,0.0,0.0,0.0,595.9668914335214
2017-06-01,569.5255389880439,0.0,1576.136216169251,569.5255389880439,569.5255389880439,0.0,0.0,0.0,0.0,0.0,0.0,569.5255389880439
2017-08-01,517.4957809679222,0.0,1560.3091283176675,517.4957809679222,517.4957809679222,0.0,0.0,0.0,0.0,0.0,0.0,517.4957809679222
2017-09-01,491.0544285462465,0.0,1469.6890693710498,491.0544285462465,491.0544285462465,0.0,0.0,0.0,0.0,0.0,0.0,491.0544285462465
2017-11-01,439.02467055959585,0.0,1356.9058161457785,439.02467055959585,439.02467055959585,0.0,0.0,0.0,0.0,0.0,0.0,439.02467055959585
2017-12-01,413.43626497891006,0.0,1403.6972241601247,413.43626497891006,413.43626497891006,0.0,0.0,0.0,0.0,0.0,0.0,413.43626497891006
2018-02-01,360.55356009247174,0.0,1332.6096108929987,360.55356009247174,360.55356009247174,0.0,0.0,0.0,0.0,0.0,0.0,360.55356009247174
2018-05-01,284.6412901748425,0.0,1322.106384287656,284.6412901748425,284.6412901748425,0.0,0.0,0.0,0.0,0.0,0.0,284.6412901748425
2018-06-01,258.1999377316233,0.0,1222.518518411864,258.1999377316233,258.1999377316233,0.0,0.0,0.0,0.0,0.0,0.0,258.1999377316233
2018-09-01,179.7288272549726,0.0,1193.2846572113383,179.7288272549726,179.7288272549726,0.0,0.0,0.0,0.0,0.0,0.0,179.7288272549726
2018-10-01,154.14042166476062,0.0,1213.1906808030476,154.14042166476062,154.14042166476062,0.0,0.0,0.0,0.0,0.0,0.0,154.14042166476062
2018-11-01,127.69906922154145,0.0,1189.2100789598499,127.69906888660336,127.69906960803094,0.0,0.0,0.0,0.0,0.0,0.0,127.69906922154145
2018-12-01,102.11066363132927,0.0,1021.5809650250636,102.11066247715887,102.11066494821674,0.0,0.0,0.0,0.0,0.0,0.0,102.11066363132927
2019-01-01,75.6693111881101,0.0,1121.9727345857389,75.66930881010573,75.66931386350406,0.0,0.0,0.0,0.0,0.0,0.0,75.6693111881101
